pkl_path,model_name,world,seed,N,T,T_full,runtime_sec,ari_train,ari_holdout,gamma_diag_mae,alpha_h_mae,beta_m_mae,gamma_m_rec,gamma_m_mae,theta_corr,r_mae,rho_rec,rho_mae,ess_theta,ess_alpha_h,ess_beta_m,ess_Gamma,ess_pi0,ess_gamma_m,ess_r_nb,rhat_max,waic,ess_rho,ess_u,ess_v
overnight_28may/mixed/rep5/fit_Heckman-global-rfree_mixed_N200_T52_seed4005.pkl,Heckman-global-rfree,mixed,4005,200,52,92,470.9,0.33413513238037496,0.35181094547261105,0.0878082508623262,0.18373704594629348,0.27055987558660344,,,,1.0068523812412298,0.011889266674912281,0.19762214666501757,,6.182409587042546,5.313686459032121,1782.8298788779427,2615.0195292893636,,3632.7073734935207,2.0987617540350576,,3445.0766002922105,,
overnight_28may/mixed/rep5/fit_Hurdle-rfree_mixed_N200_T52_seed4005.pkl,Hurdle-rfree,mixed,4005,200,52,92,842.4,0.3436050245863116,0.3686308120804177,0.08031708639411757,0.09612695701944668,0.19757113402166238,,,,1.0309171977259748,,,,6.033014630533591,5.321995249742635,1742.6057173247184,1915.1206873839174,,97.82978306088096,2.1026905159239,,,235.99971870165285,452.8939697747499
overnight_28may/mixed/rep5/fit_heckman-indiv-rfree_mixed_N200_T52_seed4005.pkl,heckman-indiv-rfree,mixed,4005,200,52,92,310.4,0.34765023266707673,0.37430367992621394,0.08063518195339918,0.05018291110677331,0.1723241873771927,,,,1.00355395895735,2.4471637755429274,0.2894327551085855,,5.319615989847914,5.280743150194646,1699.3950018124524,2459.0485009249037,,3107.3527692094235,2.1267182530988227,,,,
overnight_28may/mixed/rep6/fit_BEMMAOR-indiv-rfree_mixed_N200_T52_seed4006.pkl,BEMMAOR-indiv-rfree,mixed,4006,200,52,92,362.1,0.4155540138957837,0.42638950830675415,0.07698519643385322,0.23960634213852575,0.09930122024192668,1.2040542053776666,0.06121626161329996,0.9226120130224952,1.1686074528500734,,,1601.0006339867316,6.14083904171701,6.178076887281365,1752.4695825009044,2037.434524500831,906.85324952473,783.5267164672284,1.7576853409515454,,,,
overnight_28may/mixed/rep6/fit_Heckman-global-rfree_mixed_N200_T52_seed4006.pkl,Heckman-global-rfree,mixed,4006,200,52,92,467.5,0.3486539804311882,0.3516078480771141,0.08163243303381389,0.15995693451379886,0.23426864441559514,,,,1.0170329871315624,-0.0014560934088488542,0.20029121868176977,,6.152200741793529,5.301752567881173,1520.6296441334528,3040.770007798375,,3492.6854544550433,2.0991768356927074,,3865.251966525306,,
overnight_28may/mixed/rep6/fit_Hurdle-rfree_mixed_N200_T52_seed4006.pkl,Hurdle-rfree,mixed,4006,200,52,92,826.2,0.3590219533448013,0.3648449308366916,0.07436926700293982,0.11826763877447548,0.1377409919020904,,,,0.8552281053187935,,,,6.20114248144274,5.331354887106022,1144.2982180065908,2126.2306822256373,,140.09256815391586,2.110476035182378,,,383.484857243016,918.4214598423446
overnight_28may/mixed/rep6/fit_heckman-indiv-rfree_mixed_N200_T52_seed4006.pkl,heckman-indiv-rfree,mixed,4006,200,52,92,304.6,0.36551766517982676,0.37294335220646035,0.07299348359522646,0.10097861800998158,0.10994216103015442,,,,1.013495145165029,2.454674011483235,0.29093480229664703,,5.328292575977687,5.289291102438038,1744.915766166243,2542.7806627659666,,3176.4467610623597,2.1183709607501577,,,,
overnight_28may/mixed/rep7/fit_BEMMAOR-indiv-rfree_mixed_N200_T52_seed4007.pkl,BEMMAOR-indiv-rfree,mixed,4007,200,52,92,342.8,0.40285071166065023,0.40408887076565747,0.08211376351545115,0.26747345239821185,0.08512665198513174,1.1546964788880045,0.04640894366640136,0.9306779948527912,1.494540695895946,,,779.7920577383095,5.286071406242866,6.186907092602016,1778.236421787102,3720.13345506584,830.8869373316013,956.140491444654,2.1089521482271043,,,,
overnight_28may/mixed/rep7/fit_Heckman-global-rfree_mixed_N200_T52_seed4007.pkl,Heckman-global-rfree,mixed,4007,200,52,92,465.8,0.32407188341077936,0.3116044237279681,0.09032311261499788,0.14544141399295143,0.24072409248038498,,,,1.0060232913419527,0.039738006396850274,0.19205239872062996,,5.297899446768456,5.299809885897523,1516.6209795919406,2543.4011301202886,,2918.9209148352934,2.099791791513595,,4268.399183332014,,
overnight_28may/mixed/rep7/fit_Hurdle-rfree_mixed_N200_T52_seed4007.pkl,Hurdle-rfree,mixed,4007,200,52,92,665.5,0.3390477712389653,0.32574001791231694,0.08803179578834719,0.25503391680600745,0.17402322773608936,,,,1.310868553903229,,,,5.328427917895941,5.281247993035367,1172.38362614235,2340.3313266917207,,52.41126691611262,2.123392196324132,,,113.89702183736554,789.7428007284933
overnight_28may/mixed/rep7/fit_heckman-indiv-rfree_mixed_N200_T52_seed4007.pkl,heckman-indiv-rfree,mixed,4007,200,52,92,349.4,0.34587045643269665,0.3325014028221189,0.08808826583405593,0.20641095965697845,0.1381817637467444,,,,0.9850515392124238,2.4496539819734506,0.28993079639469016,,6.20418875529784,5.323504878696316,1951.7398117280848,3933.340700274007,,5019.839224291608,2.1009071424256147,,,,
overnight_28may/mixed/rep8/fit_BEMMAOR-indiv-rfree_mixed_N200_T52_seed4008.pkl,BEMMAOR-indiv-rfree,mixed,4008,200,52,92,365.2,0.39755052985642125,0.3982821153716149,0.09178470031201218,0.22293035878444037,0.17339420014451012,1.1442908914549363,0.043287267436480925,0.8736545671761632,0.19087133580871532,,,1589.3549190286494,5.603597901835406,6.19761996054568,1216.3551407369102,2493.072154785787,765.5397446505406,889.0240083320583,1.9339328779707694,,,,
overnight_28may/mixed/rep8/fit_Heckman-global-rfree_mixed_N200_T52_seed4008.pkl,Heckman-global-rfree,mixed,4008,200,52,92,386.4,0.34419233894963247,0.3496146167582538,0.09457139863363624,0.21501906766484002,0.26864384605002445,,,,1.0037085918135178,0.005270065126957128,0.19894598697460858,,6.16781422939983,5.309041437266169,1609.2981775102292,2985.640325129501,,3520.0859601628717,2.099161999151621,,4722.0345002930735,,
